iter	Logloss
0	0.6285845422
1	0.5722478542
2	0.5233171611
3	0.4811621539
4	0.4438497166
5	0.4120512577
6	0.3842201835
7	0.3602988612
8	0.3385448863
9	0.3200262906
10	0.3039774169
11	0.2902060339
12	0.2781345838
13	0.2672006955
14	0.2581477908
15	0.2502416227
16	0.2433263281
17	0.2374263755
18	0.2321178897
19	0.2273770654
20	0.2229400021
21	0.2192718892
22	0.2161569903
23	0.2129393115
24	0.2102380068
25	0.2076975841
26	0.2054617777
27	0.203766581
28	0.2018785595
29	0.2004164525
30	0.1989332151
31	0.1976366072
32	0.1965406091
33	0.1955165643
34	0.1945312797
35	0.1932529676
36	0.1924899844
37	0.1917736482
38	0.1910497137
39	0.1900374751
40	0.1895291812
41	0.188940274
42	0.1884661142
43	0.1880267781
44	0.1872707661
45	0.1867411309
46	0.1862885434
47	0.1857645091
48	0.1853502672
49	0.1850811593
50	0.1845730686
51	0.1840416811
52	0.1836061468
53	0.183234335
54	0.1829617909
55	0.1827467575
56	0.1825161925
57	0.1821142179
58	0.1817806954
59	0.1815375551
60	0.1811688792
61	0.1809909635
62	0.1808278032
63	0.1806844321
64	0.1804588884
65	0.1801939283
66	0.1800441225
67	0.1795123792
68	0.1793196763
69	0.1791506061
70	0.1790251492
71	0.1786752442
72	0.1785175465
73	0.1784051974
74	0.178307216
75	0.1781558759
76	0.1778897125
77	0.1775351472
78	0.1774221293
79	0.1772410765
80	0.1771354983
81	0.1769612723
82	0.1767739629
83	0.1765782297
84	0.1762858495
85	0.1761702534
86	0.1760230219
87	0.1759099528
88	0.1757875006
89	0.1755311655
90	0.1752956144
91	0.1750475947
92	0.1748980161
93	0.1747427273
94	0.1743520362
95	0.1741849224
96	0.1740198026
97	0.1738477752
98	0.1737198205
99	0.1735719489
100	0.1733472336
101	0.1731572165
102	0.1730199187
103	0.1729055608
104	0.1727563123
105	0.1726630193
106	0.1724902314
107	0.1723675434
108	0.1720832521
109	0.1719430115
110	0.1718235276
111	0.1716921043
112	0.1715024111
113	0.1712696749
114	0.1711011686
115	0.1709916439
116	0.1707907937
117	0.1706742365
118	0.1705267042
119	0.1704323983
120	0.1702610482
121	0.1700851855
122	0.1698878454
123	0.1697871059
124	0.1696473427
125	0.1695528871
126	0.1694568183
127	0.1692940049
128	0.1691299259
129	0.1689459156
130	0.1687692967
131	0.1686073543
132	0.1684633181
133	0.1683087812
134	0.168227837
135	0.1681394924
136	0.1679952404
137	0.1678868909
138	0.1677890928
139	0.1676561675
140	0.1675505964
141	0.1674309352
142	0.1672238778
143	0.1671266229
144	0.1670392964
145	0.1669106655
146	0.1667652699
147	0.1663961426
148	0.1661473096
149	0.1660347591
150	0.1658824247
151	0.1657739288
152	0.1655444442
153	0.1653749316
154	0.1652642392
155	0.1651805581
156	0.1650704942
157	0.1649934029
158	0.1648702936
159	0.1647395018
160	0.1645824781
161	0.1643857321
162	0.164281418
163	0.1640898359
164	0.1639828972
165	0.1637955707
166	0.1636693436
167	0.1635270839
168	0.1633415539
169	0.1632299921
170	0.163109498
171	0.1629193041
172	0.1627381561
173	0.1625489461
174	0.1624725297
175	0.1623067885
176	0.1621248566
177	0.1619897021
178	0.1618883767
179	0.1618144884
180	0.1617331403
181	0.1615844255
182	0.161489395
183	0.1613261726
184	0.16120912
185	0.1611423739
186	0.1610281405
187	0.1608547829
188	0.1607286156
189	0.1606328964
190	0.1605316866
191	0.1603551729
192	0.1601057754
193	0.15994278
194	0.1598210661
195	0.1597316008
196	0.1595546891
197	0.159480602
198	0.1593994083
199	0.1592244721
200	0.1590388631
201	0.1589693255
202	0.1588890509
203	0.1587536565
204	0.1586065707
205	0.1585024165
206	0.1583724209
207	0.1582791834
208	0.1581426538
209	0.1579481957
210	0.1577925254
211	0.1576971543
212	0.1575880076
213	0.157509272
214	0.1574104723
215	0.157342426
216	0.1572096496
217	0.1569883095
218	0.1568909246
219	0.156758193
220	0.1566616385
221	0.1565587177
222	0.1564630177
223	0.1563017669
224	0.1562039603
225	0.1560832686
226	0.1560249477
227	0.1558650034
228	0.1557505549
229	0.1555925231
230	0.1554800028
231	0.1554080801
