iter	Passed	Remaining
0	191	95358
1	234	58332
2	276	45758
3	313	38876
4	347	34395
5	373	30742
6	394	27767
7	411	25325
8	426	23278
9	437	21456
10	448	19921
11	458	18650
12	468	17551
13	478	16597
14	487	15766
15	496	15028
16	507	14423
17	517	13845
18	527	13347
19	537	12893
20	546	12472
21	557	12113
22	567	11762
23	577	11454
24	587	11154
25	596	10879
26	606	10623
27	616	10394
28	627	10191
29	637	9982
30	647	9788
31	656	9597
32	666	9431
33	677	9286
34	687	9132
35	697	8990
36	707	8851
37	716	8711
38	726	8584
39	736	8465
40	745	8346
41	755	8237
42	764	8128
43	774	8024
44	784	7929
45	793	7830
46	803	7741
47	813	7656
48	822	7574
49	832	7493
50	842	7419
51	852	7343
52	862	7271
53	871	7200
54	881	7128
55	890	7061
56	899	6991
57	908	6925
58	918	6867
59	928	6808
60	938	6752
61	947	6693
62	956	6637
63	966	6582
64	976	6534
65	986	6488
66	996	6440
67	1007	6398
68	1017	6355
69	1027	6309
70	1037	6266
71	1047	6227
72	1057	6188
73	1068	6150
74	1077	6108
75	1087	6066
76	1097	6028
77	1107	5992
78	1117	5955
79	1128	5922
80	1137	5885
81	1147	5849
82	1157	5814
83	1167	5780
84	1177	5749
85	1187	5716
86	1197	5684
87	1206	5649
88	1216	5617
89	1226	5588
90	1237	5560
91	1246	5528
92	1256	5498
93	1266	5468
94	1276	5442
95	1286	5414
96	1296	5386
97	1305	5356
98	1315	5330
99	1325	5301
100	1335	5273
101	1345	5248
102	1354	5221
103	1364	5194
104	1374	5169
105	1384	5144
106	1393	5119
107	1403	5093
108	1413	5069
109	1423	5045
110	1432	5019
111	1441	4994
112	1451	4971
113	1461	4947
114	1471	4925
115	1480	4901
116	1490	4878
117	1500	4856
118	1509	4834
119	1519	4811
120	1528	4788
121	1538	4767
122	1548	4746
123	1558	4727
124	1568	4706
125	1578	4684
126	1587	4663
127	1598	4645
128	1608	4625
129	1618	4606
130	1628	4587
131	1638	4567
132	1648	4547
133	1657	4527
134	1666	4507
135	1675	4485
136	1685	4465
137	1694	4445
138	1704	4425
139	1714	4407
140	1736	4422
141	1747	4404
